,Current Players,Peak today,Game
0,"712,986","794,832",PLAYERUNKNOWN'S BATTLEGROUNDS
1,"708,682","754,854",Dota 2
2,"392,210","478,849",Counter-Strike: Global Offensive
3,"84,689","88,184",Tom Clancy's Rainbow Six Siege
4,"69,455","71,320",Warframe
5,"61,251","72,689",ARK: Survival Evolved
6,"54,473","54,961",Grand Theft Auto V
7,"45,949","59,260",Team Fortress 2
8,"39,433","41,273",MONSTER HUNTER: WORLD
9,"39,023","55,186",Football Manager 2019
10,"36,026","43,919",Rust
11,"33,731","59,466",Farming Simulator 19
12,"29,845","53,594",Rocket League
13,"27,216","34,067",Garry's Mod
14,"22,561","28,190",Sid Meier's Civilization V
15,"21,605","21,605",Sid Meier's Civilization VI
16,"21,008","28,589",Paladins
17,"20,489","20,591",Dead by Daylight
18,"18,539","19,108",NBA 2K19
19,"17,818","24,016",Euro Truck Simulator 2
20,"17,534","19,475",Ring of Elysium
21,"16,984","22,640",Total War: WARHAMMER II
22,"16,395","17,869",Unturned
23,"16,251","22,094",Fallout 4
24,"15,276","15,276",The Witcher 3: Wild Hunt
25,"14,835","16,478",Terraria
26,"14,571","19,737",Path of Exile
27,"14,547","18,909",Football Manager 2018
28,"13,997","20,310",7 Days to Die
29,"13,817","14,209",Don't Starve Together
30,"13,769","13,769",PAYDAY 2
31,"13,563","17,791",Counter-Strike
32,"13,177","14,977",World of Tanks Blitz
33,"12,939","16,903",Hearts of Iron IV
34,"12,844","16,077",War Thunder
35,"12,012","12,358",Wallpaper Engine
36,"11,710","13,709",RimWorld
37,"11,457","17,622",Arma 3
38,"11,272","11,272",Sins of a Solar Empire: Rebellion
39,"11,039","12,745",Cities: Skylines
40,"10,637","15,183",Europa Universalis IV
41,"10,609","10,869",Assassin's Creed Odyssey
42,"10,139","13,956",The Elder Scrolls Online
43,"10,114","13,466",The Elder Scrolls V: Skyrim
44,"9,980","10,224",Left 4 Dead 2
45,"9,592","15,137",Crusader Kings II
46,"8,819","12,387",The Elder Scrolls V: Skyrim Special Edition
47,"8,736","8,736",Slay the Spire
48,"8,577","9,587",Spacewar
49,"8,477","8,477",DARK SOULS™ III
50,"8,475","10,218",Stardew Valley
51,"8,451","12,681",Brawlhalla
52,"8,102","8,317",太吾绘卷 The Scroll Of Taiwu
53,"7,617","10,315",Age of Empires II: HD Edition
54,"7,315","7,449",Killing Floor 2
55,"7,274","12,685",Source SDK Base 2013 Multiplayer
56,"7,255","11,905",SMITE
57,"7,044","11,196",MapleStory 2
58,"6,868","8,930",Yu-Gi-Oh! Duel Links
59,"6,852","13,349",Black Desert Online
60,"6,746","6,961",Black Squad
61,"6,720","7,873",Mount & Blade: Warband
62,"6,576","6,576",VRChat
63,"6,448","9,101",Stellaris
64,"6,412","7,367",The Binding of Isaac: Rebirth
65,"6,326","7,485",For Honor
66,"6,135","8,102",HITMAN™ 2
67,"6,076","6,326",H1Z1
68,"6,046","8,639",Factorio
69,"5,923","9,023",Divinity: Original Sin 2
70,"5,681","6,962",Football Manager 2017
71,"5,604","6,089",Frostpunk
72,"5,518","8,575",DayZ
73,"5,386","8,769",Tom Clancy's Rainbow Six Siege - Test Server
74,"5,330","6,918",Borderlands 2
75,"5,270","5,506",NBA 2K18
76,"5,080","5,659",OVERKILL's The Walking Dead
77,"5,077","5,816",Idle Champions of the Forgotten Realms
78,"4,923","4,981",Don't Starve
79,"4,844","8,471",FINAL FANTASY XIV Online
80,"4,836","6,615",Counter-Strike: Source
81,"4,662","6,624",Total War: ROME II - Emperor Edition
82,"4,468","6,112",Conan Exiles
83,"4,420","4,770",The Forest
84,"4,355","4,833",Heroes & Generals
85,"4,190","4,427",Shadowverse
86,"4,167","5,773",Farming Simulator 17
87,"3,922","4,070",Oxygen Not Included
88,"3,842","5,120",Company of Heroes 2
89,"3,829","3,892",Dying Light
90,"3,741","3,879",PRO EVOLUTION SOCCER 2019
91,"3,618","4,966",The Sims(TM) 3
92,"3,572","5,421",Warhammer: Vermintide 2
93,"3,545","5,261",XCOM 2
94,"3,537","4,681",Crossout
95,"3,480","3,661",Warface
96,"3,456","3,651",World of Warships
97,"3,439","3,603",Grim Dawn
98,"3,394","3,448",Russian Fishing 4
99,"3,231","3,979",Subnautica
