,all_ratio,genre
7,100%,Casual
8,85%,Casual
9,77%,Casual
10,70%,Casual
11,91%,Casual
12,92%,Casual
51,87%,Casual
68,75%,Casual
80,80%,Casual
82,84%,Casual
85,52%,Casual
95,94%,Casual
104,91%,Casual
105,74%,Casual
106,69%,Casual
107,0%,Casual
124,72%,Casual
128,84%,Casual
137,65%,Casual
160,76%,Casual
202,90%,Casual
204,91%,Casual
224,61%,Casual
233,95%,Casual
241,80%,Casual
259,78%,Casual
303,74%,Casual
336,97%,Casual
353,83%,Casual
429,93%,Casual
447,86%,Casual
451,72%,Casual
474,89%,Casual
491,72%,Casual
499,39%,Casual
500,33%,Casual
501,59%,Casual
512,80%,Casual
584,49%,Casual
587,82%,Casual
637,60%,Casual
652,92%,Casual
671,36%,Casual
681,67%,Casual
711,47%,Casual
714,89%,Casual
719,60%,Casual
736,94%,Casual
743,80%,Casual
825,97%,Casual
915,66%,Casual
966,97%,Casual
973,76%,Casual
979,64%,Casual
1013,63%,Casual
1029,50%,Casual
1061,75%,Casual
1144,77%,Casual
1178,89%,Casual
1201,92%,Casual
1245,87%,Casual
1281,77%,Casual
1377,76%,Casual
1394,87%,Casual
1446,96%,Casual
1465,90%,Casual
1513,97%,Casual
1527,64%,Casual
1541,97%,Casual
1580,97%,Casual
1588,96%,Casual
1616,75%,Casual
1634,76%,Casual
1653,90%,Casual
1698,75%,Casual
1821,100%,Casual
1850,66%,Casual
1888,54%,Casual
1901,28%,Casual
1908,98%,Casual
1927,89%,Casual
1933,93%,Casual
1955,60%,Casual
1972,50%,Casual
1974,84%,Casual
1975,40%,Casual
1976,56%,Casual
2055,70%,Casual
2077,39%,Casual
2150,67%,Casual
2156,89%,Casual
2171,84%,Casual
2176,95%,Casual
2263,61%,Casual
2336,88%,Casual
2346,100%,Casual
2351,10%,Casual
2401,84%,Casual
2481,50%,Casual
2508,72%,Casual
2514,88%,Casual
2591,91%,Casual
2604,64%,Casual
2831,73%,Casual
2882,42%,Casual
2888,92%,Casual
2889,100%,Casual
2907,86%,Casual
2909,73%,Casual
2935,91%,Casual
2970,90%,Casual
2975,84%,Casual
2987,100%,Casual
3115,92%,Casual
3151,80%,Casual
3159,50%,Casual
3332,63%,Casual
3333,57%,Casual
3334,72%,Casual
3353,100%,Casual
3434,95%,Casual
3510,57%,Casual
3519,65%,Casual
3581,75%,Casual
3667,77%,Casual
3685,65%,Casual
3686,46%,Casual
3975,70%,Casual
3987,56%,Casual
4079,76%,Casual
4160,90%,Casual
4302,88%,Casual
4532,84%,Casual
4636,95%,Casual
4667,96%,Casual
4739,100%,Casual
4767,58%,Casual
4773,100%,Casual
4842,100%,Casual
4915,66%,Casual
4930,62%,Casual
5050,69%,Casual
5083,80%,Casual
5362,92%,Casual
5369,96%,Casual
5373,78%,Casual
5387,61%,Casual
5421,72%,Casual
5451,98%,Casual
5453,100%,Casual
5735,89%,Casual
5740,76%,Casual
5788,95%,Casual
5814,84%,Casual
5825,100%,Casual
5835,77%,Casual
6046,57%,Casual
6106,95%,Casual
6155,84%,Casual
6301,41%,Casual
6401,92%,Casual
6575,69%,Casual
6681,100%,Casual
6692,88%,Casual
6729,75%,Casual
6741,92%,Casual
6886,86%,Casual
6889,60%,Casual
6910,90%,Casual
6944,63%,Casual
7105,90%,Casual
7133,33%,Casual
7134,60%,Casual
7279,91%,Casual
7322,60%,Casual
7335,84%,Casual
7427,71%,Casual
7451,73%,Casual
7485,78%,Casual
7492,69%,Casual
7523,70%,Casual
7526,95%,Casual
7527,96%,Casual
7532,75%,Casual
7543,79%,Casual
7551,81%,Casual
7571,81%,Casual
7578,43%,Casual
7612,86%,Casual
7629,100%,Casual
7649,54%,Casual
7835,56%,Casual
7836,64%,Casual
7838,60%,Casual
7887,68%,Casual
7889,100%,Casual
8002,75%,Casual
8051,84%,Casual
8053,95%,Casual
8131,50%,Casual
8139,62%,Casual
8542,81%,Casual
8560,39%,Casual
8576,92%,Casual
8582,84%,Casual
8635,30%,Casual
8664,81%,Casual
8665,48%,Casual
8696,96%,Casual
8722,75%,Casual
8835,76%,Casual
8906,39%,Casual
8960,97%,Casual
8963,88%,Casual
9020,50%,Casual
9087,64%,Casual
9121,42%,Casual
9197,100%,Casual
9245,91%,Casual
9263,93%,Casual
9296,93%,Casual
9420,82%,Casual
9442,100%,Casual
9486,93%,Casual
9557,62%,Casual
9586,80%,Casual
9594,60%,Casual
9610,84%,Casual
9633,62%,Casual
9708,94%,Casual
9726,66%,Casual
9822,92%,Casual
9823,100%,Casual
10003,93%,Casual
10015,72%,Casual
10054,73%,Casual
10187,16%,Casual
10226,78%,Casual
10296,91%,Casual
10370,79%,Casual
10371,41%,Casual
10372,36%,Casual
10459,89%,Casual
10534,97%,Casual
10535,50%,Casual
