,all_ratio,developer
0,78%,Pixelz Games
1,83%,Outerlight Ltd.
2,79%,Egosoft
3,73%,Egosoft
4,57%,Strategy First
5,90%,Introversion Software
6,75%,Techland
7,100%,"PopCap Games, Inc."
8,85%,"PopCap Games, Inc."
9,77%,"PopCap Games, Inc."
10,70%,"PopCap Games, Inc."
11,91%,"PopCap Games, Inc."
12,92%,"PopCap Games, Inc."
13,78%,GlyphX Games
14,83%,Introversion Software
15,96%,Double Fine Productions
16,93%,Infinity Ward
17,90%,"Infinity Ward, Aspyr (Mac)"
18,84%,Gray Matter Studios
19,67%,Malfador Machinations
20,43%,PopTop
21,89%,Firaxis Games
22,92%,Firaxis Games
23,67%,Sonalysts
24,80%,Sonalysts
25,86%,Arkane Studios
26,75%,"FireFly Studios, Firaxis Games"
27,87%,Firaxis Games
28,91%,Funcom
29,71%,PopTop
30,64%,"Firaxis Games, Feral Interactive (Mac)"
31,83%,PopTop
32,92%,"MicroProse Software, Inc"
33,65%,Elephant Games
34,56%,"CAPCOM Co., Ltd."
35,87%,Telltale Games
36,83%,"Mithis Games, THQ Nordic"
37,91%,Iocaine Studios
38,62%,Pandemic Studios
39,63%,Pandemic Studios
40,71%,Cryptic Sea
41,96%,Firaxis Games
42,61%,Rogue Entertainment
43,79%,Raven Software
44,72%,Raven Software
45,87%,Bludgeonsoft
46,86%,Rockstar North
47,84%,Rockstar North
48,85%,Rockstar San Diego
49,83%,EA Los Angeles
50,79%,Momentum Digital Media Technologies
51,87%,Infinite Interactive
52,95%,R‘lyeh Game
53,6%,SKB Game
54,40%,Spellbound
55,88%,"Frontier, Aspyr (Mac)"
56,73%,Haggard Games
57,80%,Eugen Systems
58,84%,Eugen Systems
59,94%,"Epic Games, Inc."
60,93%,Sanzaru Games
61,85%,Ubisoft
62,64%,SimBin
63,66%,Deck13
64,74%,Crackpot Entertainment
65,83%,"Tilted Mill Entertainment, Inc."
66,82%,Ascaron Entertainment ltd.
67,91%,Red Storm Entertainment
68,75%,"Dejobaan Games, LLC"
69,67%,Frogwares
70,75%,Frogwares
71,13%,"Luc Bernard, SilverSphereStudios"
72,53%,Lesta Studio
73,56%,Dialogue Design
74,82%,Bugbear Entertainment
75,94%,Oddworld Inhabitants
76,91%,Oddworld Inhabitants
77,88%,SimBin
78,52%,"MicroProse Software, Inc"
79,91%,TaleWorlds Entertainment
80,80%,MumboJumbo
81,94%,Valve
82,84%,"PopCap Games, Inc."
83,70%,"Tilted Mill Entertainment, Inc."
84,91%,"Bit Blot, LLC"
85,52%,MumboJumbo
86,67%,Paradox Development Studio
87,89%,Frogames
88,91%,Telltale Games
89,35%,Certain Affinity™
90,61%,Tale of Tales
91,87%,Criterion Games
92,80%,Twisted Pixel Games
93,75%,Tale of Tales
94,82%,Edmund McMillen and Florian Himsl
95,94%,KranX Productions
96,79%,Elecorn
97,77%,Achebit
98,88%,Rebellion
99,63%,49 Games
100,79%,Broken Rules
101,72%,1C:InoCo
102,76%,Proper Games
103,94%,Number None
104,91%,Lazy 8 Studios
105,74%,SpinTop Games
106,69%,SpinTop Games
107,0%,"Thinking Studios, Slam Dunk Studios"
108,87%,Darklight Games
109,74%,Erik Svedäng
110,63%,Ascaron Entertainment ltd.
111,94%,Bethesda Game Studios
112,53%,Mascot Entertainment
113,54%,Deck 13
114,87%,NovaLogic
115,69%,Capcom
116,87%,Frontier
117,95%,LucasArts
118,78%,LucasArts
119,88%,Planet Moon Studios
120,91%,Pandemic Studios
121,76%,Traveller's Tales
122,70%,Sandlot Games
123,88%,"PopTop Software, BreakAway Games, Frog City Software"
