,all_ratio,genre
35,87%,Adventure
50,79%,Adventure
56,73%,Adventure
63,66%,Adventure
64,74%,Adventure
69,67%,Adventure
75,94%,Adventure
76,91%,Adventure
88,91%,Adventure
113,54%,Adventure
117,95%,Adventure
118,78%,Adventure
121,76%,Adventure
125,58%,Adventure
145,80%,Adventure
147,72%,Adventure
152,91%,Adventure
189,92%,Adventure
192,90%,Adventure
194,90%,Adventure
212,89%,Adventure
213,75%,Adventure
214,58%,Adventure
215,74%,Adventure
245,73%,Adventure
251,84%,Adventure
279,69%,Adventure
326,90%,Adventure
331,92%,Adventure
337,92%,Adventure
358,93%,Adventure
363,70%,Adventure
379,94%,Adventure
492,92%,Adventure
505,85%,Adventure
515,31%,Adventure
556,63%,Adventure
560,91%,Adventure
561,44%,Adventure
563,63%,Adventure
615,81%,Adventure
632,88%,Adventure
657,72%,Adventure
658,80%,Adventure
666,86%,Adventure
689,93%,Adventure
690,78%,Adventure
699,54%,Adventure
705,68%,Adventure
713,39%,Adventure
718,88%,Adventure
728,78%,Adventure
730,88%,Adventure
735,51%,Adventure
747,58%,Adventure
748,39%,Adventure
749,56%,Adventure
759,70%,Adventure
760,96%,Adventure
764,88%,Adventure
770,81%,Adventure
771,64%,Adventure
772,78%,Adventure
816,72%,Adventure
858,78%,Adventure
859,96%,Adventure
860,58%,Adventure
861,96%,Adventure
862,79%,Adventure
863,80%,Adventure
885,88%,Adventure
891,60%,Adventure
895,59%,Adventure
932,40%,Adventure
934,82%,Adventure
975,100%,Adventure
977,93%,Adventure
978,95%,Adventure
981,83%,Adventure
996,90%,Adventure
1007,97%,Adventure
1009,91%,Adventure
1011,94%,Adventure
1034,66%,Adventure
1037,42%,Adventure
1043,93%,Adventure
1045,72%,Adventure
1057,52%,Adventure
1073,81%,Adventure
1076,43%,Adventure
1093,37%,Adventure
1094,81%,Adventure
1095,87%,Adventure
1131,94%,Adventure
1146,48%,Adventure
1147,74%,Adventure
1159,59%,Adventure
1191,63%,Adventure
1193,78%,Adventure
1194,84%,Adventure
1205,30%,Adventure
1273,16%,Adventure
1276,80%,Adventure
1284,72%,Adventure
1285,72%,Adventure
1287,92%,Adventure
1288,89%,Adventure
1291,51%,Adventure
1292,85%,Adventure
1347,96%,Adventure
1380,73%,Adventure
1438,96%,Adventure
1456,77%,Adventure
1473,76%,Adventure
1477,79%,Adventure
1498,35%,Adventure
1519,83%,Adventure
1606,78%,Adventure
1615,91%,Adventure
1727,78%,Adventure
1793,47%,Adventure
1839,85%,Adventure
1958,52%,Adventure
1970,75%,Adventure
1971,95%,Adventure
2016,84%,Adventure
2033,81%,Adventure
2044,61%,Adventure
2057,74%,Adventure
2059,81%,Adventure
2086,93%,Adventure
2126,85%,Adventure
2280,73%,Adventure
2365,87%,Adventure
2382,18%,Adventure
2398,100%,Adventure
2473,82%,Adventure
2474,90%,Adventure
2492,73%,Adventure
2503,87%,Adventure
2542,78%,Adventure
2548,86%,Adventure
2640,96%,Adventure
2660,79%,Adventure
2686,71%,Adventure
2739,90%,Adventure
2783,23%,Adventure
2798,97%,Adventure
2834,50%,Adventure
2969,91%,Adventure
3175,53%,Adventure
3264,57%,Adventure
3293,97%,Adventure
3315,40%,Adventure
3325,78%,Adventure
3341,84%,Adventure
3351,72%,Adventure
3367,36%,Adventure
3369,100%,Adventure
3402,44%,Adventure
3472,92%,Adventure
3480,81%,Adventure
3481,62%,Adventure
3515,81%,Adventure
3603,27%,Adventure
3620,80%,Adventure
3621,100%,Adventure
3629,77%,Adventure
3630,63%,Adventure
3673,87%,Adventure
3674,100%,Adventure
3851,96%,Adventure
3926,82%,Adventure
4091,52%,Adventure
4201,91%,Adventure
4279,84%,Adventure
4336,89%,Adventure
4361,61%,Adventure
4451,88%,Adventure
4472,55%,Adventure
4474,90%,Adventure
4501,63%,Adventure
4525,89%,Adventure
4545,69%,Adventure
4621,98%,Adventure
4657,60%,Adventure
4658,55%,Adventure
4662,69%,Adventure
4666,100%,Adventure
4672,90%,Adventure
4730,71%,Adventure
4901,29%,Adventure
4971,91%,Adventure
5010,96%,Adventure
5011,88%,Adventure
5061,97%,Adventure
5221,88%,Adventure
5320,100%,Adventure
5324,83%,Adventure
5343,84%,Adventure
5403,76%,Adventure
5542,74%,Adventure
5569,96%,Adventure
5578,72%,Adventure
5606,89%,Adventure
5607,63%,Adventure
5608,70%,Adventure
5649,89%,Adventure
5744,89%,Adventure
6154,88%,Adventure
6166,66%,Adventure
6234,86%,Adventure
6273,66%,Adventure
6293,80%,Adventure
6370,86%,Adventure
6376,97%,Adventure
6637,75%,Adventure
6646,91%,Adventure
6716,91%,Adventure
6739,100%,Adventure
6809,100%,Adventure
6816,66%,Adventure
6817,96%,Adventure
6848,100%,Adventure
6921,98%,Adventure
7068,59%,Adventure
7149,100%,Adventure
7175,72%,Adventure
7241,58%,Adventure
7350,97%,Adventure
7393,61%,Adventure
7495,73%,Adventure
7500,93%,Adventure
7544,25%,Adventure
7566,86%,Adventure
7628,46%,Adventure
7654,95%,Adventure
7749,60%,Adventure
7795,50%,Adventure
7868,96%,Adventure
7938,56%,Adventure
8103,75%,Adventure
8288,41%,Adventure
8360,93%,Adventure
8412,48%,Adventure
8447,82%,Adventure
8449,85%,Adventure
8452,77%,Adventure
8453,68%,Adventure
8509,100%,Adventure
8575,85%,Adventure
8605,63%,Adventure
8606,98%,Adventure
8789,100%,Adventure
8820,58%,Adventure
8837,47%,Adventure
8989,87%,Adventure
8997,59%,Adventure
8999,95%,Adventure
9005,63%,Adventure
9008,78%,Adventure
9037,100%,Adventure
9149,29%,Adventure
9159,85%,Adventure
9176,45%,Adventure
9225,96%,Adventure
9301,86%,Adventure
9369,90%,Adventure
9370,85%,Adventure
9433,90%,Adventure
9475,65%,Adventure
9497,90%,Adventure
9618,85%,Adventure
9648,83%,Adventure
9689,90%,Adventure
9725,46%,Adventure
9788,71%,Adventure
9810,88%,Adventure
9844,81%,Adventure
9847,80%,Adventure
9853,16%,Adventure
9861,93%,Adventure
9897,96%,Adventure
9898,86%,Adventure
9899,94%,Adventure
10064,82%,Adventure
10075,94%,Adventure
10113,45%,Adventure
10115,40%,Adventure
10161,100%,Adventure
10162,95%,Adventure
10193,65%,Adventure
10204,90%,Adventure
10246,76%,Adventure
10248,73%,Adventure
10302,74%,Adventure
10354,94%,Adventure
10365,90%,Adventure
10408,83%,Adventure
10425,81%,Adventure
10430,85%,Adventure
10433,86%,Adventure
10434,65%,Adventure
10501,91%,Adventure
10524,73%,Adventure
10525,90%,Adventure
10532,90%,Adventure
10613,23%,Adventure
10731,85%,Adventure
10799,81%,Adventure
10831,76%,Adventure
10884,86%,Adventure
10927,72%,Adventure
10928,96%,Adventure
10947,91%,Adventure
10992,93%,Adventure
11109,57%,Adventure
11183,64%,Adventure
11217,81%,Adventure
11236,89%,Adventure
11368,65%,Adventure
11406,90%,Adventure
11411,90%,Adventure
11454,67%,Adventure
11466,87%,Adventure
11470,76%,Adventure
11471,84%,Adventure
11528,88%,Adventure
11565,85%,Adventure
11566,52%,Adventure
11635,72%,Adventure
11669,65%,Adventure
11670,84%,Adventure
11752,94%,Adventure
11782,79%,Adventure
11785,44%,Adventure
11827,82%,Adventure
11828,79%,Adventure
11939,47%,Adventure
11948,20%,Adventure
11949,92%,Adventure
12029,100%,Adventure
12030,100%,Adventure
12031,96%,Adventure
12044,92%,Adventure
12047,92%,Adventure
12048,92%,Adventure
12131,80%,Adventure
12144,97%,Adventure
12191,54%,Adventure
12194,91%,Adventure
12229,100%,Adventure
12296,100%,Adventure
12328,82%,Adventure
12389,85%,Adventure
12390,76%,Adventure
12397,80%,Adventure
12445,89%,Adventure
12453,90%,Adventure
12503,87%,Adventure
12521,84%,Adventure
12584,97%,Adventure
12630,75%,Adventure
12672,91%,Adventure
12705,95%,Adventure
12721,77%,Adventure
12738,86%,Adventure
12739,84%,Adventure
12741,97%,Adventure
12755,60%,Adventure
12779,60%,Adventure
12806,33%,Adventure
12847,81%,Adventure
12868,76%,Adventure
12899,97%,Adventure
13015,76%,Adventure
13119,16%,Adventure
13120,58%,Adventure
13124,61%,Adventure
13159,74%,Adventure
13215,92%,Adventure
13246,98%,Adventure
13256,11%,Adventure
13297,87%,Adventure
13305,64%,Adventure
13356,69%,Adventure
13384,23%,Adventure
13406,75%,Adventure
13460,76%,Adventure
13466,76%,Adventure
13511,50%,Adventure
13514,72%,Adventure
13582,78%,Adventure
13588,93%,Adventure
13704,88%,Adventure
13705,94%,Adventure
13727,64%,Adventure
13734,64%,Adventure
13736,76%,Adventure
13755,100%,Adventure
13803,58%,Adventure
13946,66%,Adventure
13948,53%,Adventure
13949,73%,Adventure
13961,24%,Adventure
13968,70%,Adventure
13969,66%,Adventure
13970,57%,Adventure
13975,70%,Adventure
14105,100%,Adventure
14118,50%,Adventure
14200,39%,Adventure
14202,68%,Adventure
14217,40%,Adventure
14340,88%,Adventure
14341,80%,Adventure
14382,87%,Adventure
14383,89%,Adventure
14422,90%,Adventure
14467,91%,Adventure
14481,89%,Adventure
14487,73%,Adventure
14488,51%,Adventure
14560,85%,Adventure
14626,11%,Adventure
14638,41%,Adventure
14640,72%,Adventure
14646,5%,Adventure
14647,37%,Adventure
14661,78%,Adventure
14685,85%,Adventure
14708,84%,Adventure
14721,94%,Adventure
14740,75%,Adventure
14744,86%,Adventure
14755,88%,Adventure
14779,72%,Adventure
14780,62%,Adventure
14781,72%,Adventure
14783,86%,Adventure
14784,49%,Adventure
14785,88%,Adventure
14790,87%,Adventure
14794,73%,Adventure
14797,86%,Adventure
14815,79%,Adventure
14837,90%,Adventure
14912,85%,Adventure
14922,94%,Adventure
14942,81%,Adventure
14947,88%,Adventure
14951,66%,Adventure
14955,49%,Adventure
14987,87%,Adventure
15019,81%,Adventure
15032,50%,Adventure
15100,94%,Adventure
15144,88%,Adventure
15169,56%,Adventure
15209,83%,Adventure
15235,75%,Adventure
15236,84%,Adventure
15251,55%,Adventure
15253,58%,Adventure
15255,75%,Adventure
15258,76%,Adventure
15259,82%,Adventure
15260,53%,Adventure
15264,89%,Adventure
15334,68%,Adventure
15465,76%,Adventure
15466,69%,Adventure
15497,84%,Adventure
15504,72%,Adventure
15512,85%,Adventure
15513,89%,Adventure
15535,88%,Adventure
15540,63%,Adventure
15568,92%,Adventure
15579,82%,Adventure
15580,50%,Adventure
15669,85%,Adventure
15703,86%,Adventure
15737,92%,Adventure
15754,88%,Adventure
15791,83%,Adventure
15799,94%,Adventure
15830,89%,Adventure
15839,87%,Adventure
15865,83%,Adventure
15891,82%,Adventure
15926,86%,Adventure
15933,30%,Adventure
15934,63%,Adventure
15940,88%,Adventure
15969,52%,Adventure
15978,86%,Adventure
15979,68%,Adventure
15980,68%,Adventure
16026,98%,Adventure
16030,82%,Adventure
16032,84%,Adventure
16033,84%,Adventure
16035,85%,Adventure
16065,90%,Adventure
16099,48%,Adventure
16104,95%,Adventure
16118,65%,Adventure
16122,92%,Adventure
16123,40%,Adventure
16125,60%,Adventure
16135,83%,Adventure
16160,68%,Adventure
16182,76%,Adventure
16187,95%,Adventure
16201,65%,Adventure
16219,76%,Adventure
16251,44%,Adventure
16267,55%,Adventure
16275,71%,Adventure
16277,91%,Adventure
16281,89%,Adventure
16283,48%,Adventure
16295,88%,Adventure
16299,82%,Adventure
16313,50%,Adventure
16314,90%,Adventure
16320,81%,Adventure
16321,48%,Adventure
16339,83%,Adventure
16347,98%,Adventure
16351,89%,Adventure
16352,92%,Adventure
16353,62%,Adventure
16354,92%,Adventure
16355,95%,Adventure
16356,96%,Adventure
16357,92%,Adventure
16361,39%,Adventure
16371,94%,Adventure
16383,86%,Adventure
16389,95%,Adventure
16395,91%,Adventure
16400,90%,Adventure
16401,91%,Adventure
16410,32%,Adventure
16411,65%,Adventure
16421,65%,Adventure
16423,77%,Adventure
16426,78%,Adventure
16428,100%,Adventure
16431,88%,Adventure
16434,91%,Adventure
16437,95%,Adventure
16439,77%,Adventure
16443,74%,Adventure
16453,90%,Adventure
16454,65%,Adventure
16455,83%,Adventure
16456,76%,Adventure
16465,80%,Adventure
16466,55%,Adventure
16519,87%,Adventure
16536,86%,Adventure
16542,77%,Adventure
16553,80%,Adventure
16586,90%,Adventure
16588,95%,Adventure
16589,94%,Adventure
16590,100%,Adventure
16591,87%,Adventure
16592,92%,Adventure
16643,80%,Adventure
16651,97%,Adventure
16652,93%,Adventure
16653,90%,Adventure
16654,96%,Adventure
16655,96%,Adventure
16658,72%,Adventure
16683,71%,Adventure
16684,57%,Adventure
