,app_name,title,id,url,all_ratio,genres,specs,platform,developer,Developer,Publisher,Release_Date,Positive_Review,Positive_Review_Rank,Top_Played_Rank
20992,PLAYERUNKNOWN'S BATTLEGROUNDS,PLAYERUNKNOWN'S BATTLEGROUNDS,578080.0,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/,"49% of the 761,549 user reviews for this game are positive.","['Action', 'Adventure', 'Massively Multiplayer']","['Multi-player', 'Online Multi-Player', 'Stats']","Windows,","PUBG CorporationPublisher:PUBG CorporationRelease Date: Dec 21, 2017",PUBG Corporation,PUBG Corporation,Dec 21 2017,373159.0,2,1.0
861,Dota 2,,570.0,https://store.steampowered.com/app/570/Dota_2/,"86% of the 939,602 user reviews for this game are positive.",,"['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'HTC Vive', 'Tracked Motion Controllers', 'Seated', 'Standing', 'Room-Scale']","Linux,Mac,Windows,",,,,,808058.0,1,2.0
7805,ARK: Survival Evolved,ARK: Survival Evolved,346110.0,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/,"68% of the 154,553 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']","Linux,Mac,Windows,","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLCPublisher:Studio WildcardRelease Date: Aug 27, 2017",Studio Wildcard Instinct Games Efecto Studios Virtual Basement LLC,Studio Wildcard,Aug 27 2017,105096.0,12,6.0
14873,MONSTER HUNTER: WORLD,MONSTER HUNTER: WORLD,582010.0,https://store.steampowered.com/app/582010/MONSTER_HUNTER_WORLD/,"54% of the 41,880 user reviews for this game are positive.",['Action'],"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Windows,","CAPCOM Co., Ltd.Publisher:CAPCOM Co., Ltd.Release Date: Aug 9, 2018",CAPCOM Co Ltd,CAPCOM Co Ltd,Aug 9 2018,22615.0,66,9.0
38962,Garry's Mod,Garry's Mod,4000.0,https://store.steampowered.com/app/4000/Garrys_Mod/,"95% of the 286,203 user reviews for this game are positive.","['Indie', 'Simulation']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']","Linux,Mac,Windows,","Facepunch StudiosPublisher:ValveRelease Date: Nov 29, 2006",Facepunch Studios,Valve,Nov 29 2006,271893.0,4,14.0
767,Euro Truck Simulator 2,Euro Truck Simulator 2,227300.0,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/,"96% of the 111,350 user reviews for this game are positive.","['Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Includes level editor']","Linux,Mac,Windows,","SCS SoftwarePublisher:SCS SoftwareRelease Date: Oct 12, 2012",SCS Software,SCS Software,Oct 12 2012,106896.0,11,20.0
12506,Ring of Elysium,Ring of Elysium,755790.0,https://store.steampowered.com/app/755790/Ring_of_Elysium/,"72% of the 19,145 user reviews for this game are positive.","['Action', 'Free to Play', 'Massively Multiplayer', 'Early Access']",['Online Multi-Player'],"Windows,","Tencent GamesPublisher:Tencent GamesRelease Date: Sep 19, 2018",Tencent Games,Tencent Games,Sep 19 2018,13784.0,123,21.0
24785,Unturned,Unturned,304930.0,https://store.steampowered.com/app/304930/Unturned/,"90% of the 316,287 user reviews for this game are positive.","['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']","['Single-player', 'Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']","Linux,Mac,Windows,","Smartly Dressed GamesPublisher:Smartly Dressed GamesFranchise:UnturnedRelease Date: Jul 7, 2017",Smartly Dressed Games,Smartly Dressed GamesFranchise Unturned,Jul 7 2017,284658.0,3,23.0
371,Terraria,Terraria,105600.0,https://store.steampowered.com/app/105600/Terraria/,"96% of the 179,000 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Re-LogicPublisher:Re-LogicRelease Date: May 16, 2011",Re Logic,Re Logic,May 16 2011,171840.0,5,26.0
950,Path of Exile,Path of Exile,238960.0,https://store.steampowered.com/app/238960/Path_of_Exile/,"91% of the 64,588 user reviews for this game are positive.","['Action', 'Adventure', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']","['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Windows,","Grinding Gear GamesPublisher:Grinding Gear GamesRelease Date: Oct 23, 2013",Grinding Gear Games,Grinding Gear Games,Oct 23 2013,58775.0,23,27.0
8762,Football Manager 2018,Football Manager 2018,624090.0,https://store.steampowered.com/app/624090/Football_Manager_2018/,"60% of the 4,404 user reviews for this game are positive.","['Simulation', 'Sports']","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']","SteamOS,Linux,Mac,Windows,","Sports InteractivePublisher:SEGARelease Date: Nov 9, 2017",Sports Interactive,SEGA,Nov 9 2017,2642.0,619,28.0
31544,Don't Starve Together,Don't Starve Together,322330.0,https://store.steampowered.com/app/322330/Dont_Starve_Together/,"96% of the 57,550 user reviews for this game are positive.","['Adventure', 'Indie', 'Simulation']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop']","Linux,Mac,Windows,","Klei EntertainmentPublisher:Klei EntertainmentRelease Date: Apr 21, 2016",Klei Entertainment,Klei Entertainment,Apr 21 2016,55248.0,25,30.0
39097,Counter-Strike,Counter-Strike,10.0,https://store.steampowered.com/app/10/CounterStrike/,"96% of the 59,056 user reviews for this game are positive.",['Action'],"['Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Valve Anti-Cheat enabled']","Linux,Mac,Windows,","ValvePublisher:ValveRelease Date: Nov 1, 2000",Valve,Valve,Nov 1 2000,56694.0,24,32.0
28637,World of Tanks Blitz,World of Tanks Blitz,444200.0,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/,"69% of the 16,124 user reviews for this game are positive.","['Action', 'Free to Play', 'Massively Multiplayer']","['Online Multi-Player', 'MMO', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases']","Mac,Windows,","Wargaming Group LimitedPublisher:Wargaming Group LimitedRelease Date: Nov 9, 2016",Wargaming Group Limited,Wargaming Group Limited,Nov 9 2016,11126.0,155,33.0
31073,Hearts of Iron IV,Hearts of Iron IV,394360.0,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/,"84% of the 21,990 user reviews for this game are positive.","['Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","Linux,Mac,Windows,","Paradox Development StudioPublisher:Paradox InteractiveRelease Date: Jun 6, 2016",Paradox Development Studio,Paradox Interactive,Jun 6 2016,18472.0,84,34.0
