,title,all_ratio,genres,specs,platform,developer,positive_review,positive_review_rank
37316,Trine 2: Complete Story,"95% of the 10,956 user reviews for this game are positive.","['Action', 'Adventure', 'Indie']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","Linux,Mac,Windows,","FrozenbytePublisher:FrozenbyteRelease Date: Jun 6, 2013",939.0,1
32949,The Legend of Heroes: Trails in the Sky SC,97% of the 963 user reviews for this game are positive.,['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","Nihon FalcomPublisher:XSEED Games, Marvelous USA, Inc.Franchise:Trails in the SkyRelease Date: Oct 29, 2015",934.0,2
29628,Mad Father,96% of the 972 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","Windows,","senPublisher:AGM PLAYISMRelease Date: Sep 22, 2016",933.0,3
13710,Cube Escape: Paradox,96% of the 970 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud']","Mac,Windows,","Rusty LakePublisher:Rusty LakeFranchise:Rusty LakeRelease Date: Sep 20, 2018",931.0,4
2323,Higurashi When They Cry Hou - Ch.1 Onikakushi,96% of the 966 user reviews for this game are positive.,['Adventure'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","07th ExpansionPublisher:MangaGamerRelease Date: May 15, 2015",927.0,5
74,Civilization IV: Beyond the Sword,96% of the 964 user reviews for this game are positive.,['Strategy'],['Single-player'],"Mac,Windows,","Firaxis GamesPublisher:2KFranchise:Sid Meier's CivilizationRelease Date: Jul 24, 2007",925.0,6
34756,Hero of the Kingdom II,94% of the 978 user reviews for this game are positive.,"['Adventure', 'Casual', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Lonely TroopsPublisher:Lonely TroopsRelease Date: Feb 20, 2015",919.0,7
30226,ACE Academy,95% of the 967 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Sports']","['Single-player', 'Steam Cloud']","SteamOS,Linux,Mac,Windows,","PixelFade IncPublisher:PixelFade IncRelease Date: Aug 22, 2016",919.0,7
37314,X3: Albion Prelude,92% of the 988 user reviews for this game are positive.,"['Action', 'Simulation']","['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']","Linux,Mac,Windows,","EgosoftPublisher:EgosoftRelease Date: Dec 15, 2011",909.0,9
36772,Papo &amp; Yo,95% of the 954 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","Linux,Mac,Windows,","Minority Media Inc.Publisher:Minority MediaRelease Date: Apr 18, 2013",906.0,10
31592,Melty Blood Actress Again Current Code,91% of the 996 user reviews for this game are positive.,['Action'],"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Windows,","FRENCH-BREADPublisher:Arc System WorksRelease Date: Apr 19, 2016",906.0,10
31128,Brigador: Up-Armored Edition,95% of the 953 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Stellar Jockeys, GausswerksPublisher:Stellar JockeysRelease Date: Jun 2, 2016",905.0,12
1107,Hexcells Plus,94% of the 962 user reviews for this game are positive.,"['Casual', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements']","Linux,Mac,Windows,","Matthew BrownPublisher:Matthew BrownRelease Date: Feb 19, 2014",904.0,13
17024,Fox Hime Zero,96% of the 942 user reviews for this game are positive.,"['Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","AsicxArtPublisher:SakuraGameRelease Date: May 23, 2018",904.0,13
54,Sid Meier's Civilization® IV,92% of the 982 user reviews for this game are positive.,['Strategy'],"['Single-player', 'Multi-player', 'Includes level editor']","Mac,Windows,","Firaxis GamesPublisher:2KFranchise:Sid Meier's CivilizationRelease Date: Oct 25, 2005",903.0,15
60,The Longest Journey,91% of the 991 user reviews for this game are positive.,"['Action', 'Adventure', 'RPG']",['Single-player'],"Windows,","FuncomPublisher:FuncomRelease Date: Nov 17, 2000",902.0,16
33657,The Witcher 3: Wild Hunt - New Finisher Animations,98% of the 915 user reviews for this game are positive.,['RPG'],"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","CD PROJEKT REDRelease Date: Jul 22, 2015",897.0,17
5814,Low Magic Age,91% of the 982 user reviews for this game are positive.,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy', 'Early Access']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","Windows,","Low Magic StudiosPublisher:Low Magic StudiosRelease Date: Jan 10, 2017",894.0,18
36459,Dominions 4: Thrones of Ascension,90% of the 989 user reviews for this game are positive.,"['Indie', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer']","Linux,Mac,Windows,","Illwinter Game DesignPublisher:Illwinter Game DesignRelease Date: Dec 5, 2013",890.0,19
3907,,93% of the 956 user reviews for this game are positive.,,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Keyboard / Mouse', 'Seated']","Windows,",,889.0,20
