,#Reviews,developer
0,19,Pixelz Games
1,"2,398",Outerlight Ltd.
2,191,Egosoft
3,279,Egosoft
4,212,Strategy First
5,"1,179",Introversion Software
6,133,Techland
7,26,"PopCap Games, Inc."
8,34,"PopCap Games, Inc."
9,87,"PopCap Games, Inc."
10,81,"PopCap Games, Inc."
11,46,"PopCap Games, Inc."
12,27,"PopCap Games, Inc."
13,237,GlyphX Games
14,"1,724",Introversion Software
15,"4,482",Double Fine Productions
16,"1,318",Infinity Ward
17,"2,032","Infinity Ward, Aspyr (Mac)"
18,458,Gray Matter Studios
19,237,Malfador Machinations
20,72,PopTop
21,"1,619",Firaxis Games
22,982,Firaxis Games
23,43,Sonalysts
24,138,Sonalysts
25,659,Arkane Studios
26,210,"FireFly Studios, Firaxis Games"
27,86,Firaxis Games
28,991,Funcom
29,414,PopTop
30,"1,075","Firaxis Games, Feral Interactive (Mac)"
31,462,PopTop
32,312,"MicroProse Software, Inc"
33,220,Elephant Games
34,"1,905","CAPCOM Co., Ltd."
35,260,Telltale Games
36,485,"Mithis Games, THQ Nordic"
37,12,Iocaine Studios
38,136,Pandemic Studios
39,96,Pandemic Studios
40,101,Cryptic Sea
41,964,Firaxis Games
42,67,Rogue Entertainment
43,174,Raven Software
44,68,Raven Software
45,33,Bludgeonsoft
46,110,Rockstar North
47,155,Rockstar North
48,364,Rockstar San Diego
49,"4,224",EA Los Angeles
50,63,Momentum Digital Media Technologies
51,540,Infinite Interactive
52,23,R‘lyeh Game
53,60,SKB Game
54,57,Spellbound
55,"3,090","Frontier, Aspyr (Mac)"
56,423,Haggard Games
57,162,Eugen Systems
58,175,Eugen Systems
59,719,"Epic Games, Inc."
60,43,Sanzaru Games
61,902,Ubisoft
62,54,SimBin
63,59,Deck13
64,316,Crackpot Entertainment
65,183,"Tilted Mill Entertainment, Inc."
66,"1,485",Ascaron Entertainment ltd.
67,36,Red Storm Entertainment
68,429,"Dejobaan Games, LLC"
69,100,Frogwares
70,114,Frogwares
71,43,"Luc Bernard, SilverSphereStudios"
72,112,Lesta Studio
73,316,Dialogue Design
74,"1,899",Bugbear Entertainment
75,729,Oddworld Inhabitants
76,"1,334",Oddworld Inhabitants
77,43,SimBin
78,180,"MicroProse Software, Inc"
79,"2,644",TaleWorlds Entertainment
80,21,MumboJumbo
81,"12,072",Valve
82,97,"PopCap Games, Inc."
