,all_ratio,genre
33,65%,Indie
40,71%,Indie
60,93%,Indie
71,13%,Indie
73,56%,Indie
84,91%,Indie
87,89%,Indie
92,80%,Indie
93,75%,Indie
94,82%,Indie
100,79%,Indie
109,74%,Indie
126,59%,Indie
129,87%,Indie
139,94%,Indie
151,18%,Indie
154,92%,Indie
156,69%,Indie
158,88%,Indie
159,81%,Indie
165,96%,Indie
166,93%,Indie
169,52%,Indie
171,92%,Indie
172,37%,Indie
175,91%,Indie
176,88%,Indie
197,82%,Indie
206,76%,Indie
221,63%,Indie
222,70%,Indie
235,82%,Indie
244,81%,Indie
247,68%,Indie
257,71%,Indie
262,92%,Indie
265,82%,Indie
266,83%,Indie
276,58%,Indie
278,68%,Indie
287,88%,Indie
297,89%,Indie
300,67%,Indie
315,88%,Indie
316,92%,Indie
318,93%,Indie
338,90%,Indie
340,91%,Indie
346,79%,Indie
347,88%,Indie
354,64%,Indie
356,94%,Indie
368,96%,Indie
370,86%,Indie
380,91%,Indie
397,87%,Indie
398,89%,Indie
407,25%,Indie
408,70%,Indie
418,83%,Indie
419,81%,Indie
426,65%,Indie
427,84%,Indie
432,77%,Indie
434,91%,Indie
440,76%,Indie
441,88%,Indie
448,60%,Indie
452,58%,Indie
465,84%,Indie
467,45%,Indie
468,90%,Indie
475,88%,Indie
478,94%,Indie
481,80%,Indie
483,84%,Indie
484,100%,Indie
485,92%,Indie
507,75%,Indie
508,56%,Indie
521,91%,Indie
522,94%,Indie
523,50%,Indie
524,95%,Indie
532,76%,Indie
535,86%,Indie
537,86%,Indie
538,85%,Indie
539,95%,Indie
540,80%,Indie
541,81%,Indie
542,52%,Indie
543,98%,Indie
547,84%,Indie
550,83%,Indie
552,82%,Indie
557,62%,Indie
558,90%,Indie
559,61%,Indie
564,89%,Indie
568,97%,Indie
576,91%,Indie
585,87%,Indie
588,74%,Indie
589,61%,Indie
590,88%,Indie
591,74%,Indie
594,95%,Indie
595,82%,Indie
599,81%,Indie
606,73%,Indie
610,82%,Indie
611,78%,Indie
613,79%,Indie
614,83%,Indie
619,93%,Indie
620,68%,Indie
623,78%,Indie
625,90%,Indie
626,74%,Indie
631,87%,Indie
633,76%,Indie
634,55%,Indie
635,57%,Indie
638,89%,Indie
640,90%,Indie
644,74%,Indie
651,85%,Indie
653,83%,Indie
659,58%,Indie
660,91%,Indie
661,93%,Indie
667,83%,Indie
668,61%,Indie
673,89%,Indie
676,93%,Indie
691,94%,Indie
693,92%,Indie
708,73%,Indie
710,38%,Indie
717,77%,Indie
722,93%,Indie
737,79%,Indie
738,97%,Indie
741,86%,Indie
742,100%,Indie
744,44%,Indie
757,59%,Indie
769,72%,Indie
773,72%,Indie
774,87%,Indie
777,95%,Indie
781,65%,Indie
782,90%,Indie
785,74%,Indie
791,83%,Indie
798,78%,Indie
801,77%,Indie
