,all_ratio,genre
0,78%,Strategy
2,79%,Strategy
3,73%,Strategy
4,57%,Strategy
5,90%,Strategy
14,83%,Strategy
19,67%,Strategy
20,43%,Strategy
21,89%,Strategy
22,92%,Strategy
23,67%,Strategy
24,80%,Strategy
26,75%,Strategy
27,87%,Strategy
29,71%,Strategy
30,64%,Strategy
31,83%,Strategy
32,92%,Strategy
36,83%,Strategy
37,91%,Strategy
38,62%,Strategy
39,63%,Strategy
41,96%,Strategy
45,87%,Strategy
49,83%,Strategy
55,88%,Strategy
72,53%,Strategy
78,52%,Strategy
83,70%,Strategy
86,67%,Strategy
89,35%,Strategy
96,79%,Strategy
101,72%,Strategy
102,76%,Strategy
103,94%,Strategy
110,63%,Strategy
112,53%,Strategy
116,87%,Strategy
123,88%,Strategy
132,45%,Strategy
138,66%,Strategy
140,84%,Strategy
146,87%,Strategy
148,81%,Strategy
150,83%,Strategy
153,57%,Strategy
155,72%,Strategy
161,90%,Strategy
164,89%,Strategy
167,19%,Strategy
168,39%,Strategy
174,88%,Strategy
177,64%,Strategy
178,40%,Strategy
182,30%,Strategy
185,76%,Strategy
186,87%,Strategy
188,87%,Strategy
193,56%,Strategy
195,94%,Strategy
198,90%,Strategy
201,40%,Strategy
205,78%,Strategy
208,65%,Strategy
210,72%,Strategy
211,84%,Strategy
226,88%,Strategy
227,45%,Strategy
228,84%,Strategy
231,85%,Strategy
238,88%,Strategy
239,90%,Strategy
249,60%,Strategy
256,38%,Strategy
261,60%,Strategy
264,70%,Strategy
267,45%,Strategy
268,88%,Strategy
269,87%,Strategy
270,73%,Strategy
271,79%,Strategy
273,91%,Strategy
274,91%,Strategy
275,60%,Strategy
277,66%,Strategy
280,96%,Strategy
281,34%,Strategy
282,61%,Strategy
284,46%,Strategy
289,85%,Strategy
291,77%,Strategy
293,16%,Strategy
296,94%,Strategy
307,51%,Strategy
309,76%,Strategy
312,100%,Strategy
314,72%,Strategy
323,89%,Strategy
324,64%,Strategy
325,76%,Strategy
334,85%,Strategy
335,87%,Strategy
343,66%,Strategy
344,83%,Strategy
348,30%,Strategy
349,40%,Strategy
350,36%,Strategy
352,58%,Strategy
361,54%,Strategy
364,59%,Strategy
366,26%,Strategy
372,94%,Strategy
373,58%,Strategy
374,70%,Strategy
375,83%,Strategy
377,22%,Strategy
382,71%,Strategy
383,85%,Strategy
384,92%,Strategy
392,81%,Strategy
393,63%,Strategy
394,92%,Strategy
395,50%,Strategy
399,92%,Strategy
409,92%,Strategy
413,17%,Strategy
416,65%,Strategy
417,50%,Strategy
420,67%,Strategy
421,62%,Strategy
424,85%,Strategy
428,92%,Strategy
430,80%,Strategy
431,79%,Strategy
433,80%,Strategy
435,25%,Strategy
436,77%,Strategy
437,49%,Strategy
439,69%,Strategy
444,30%,Strategy
445,85%,Strategy
460,64%,Strategy
461,66%,Strategy
466,89%,Strategy
469,93%,Strategy
470,71%,Strategy
471,89%,Strategy
473,71%,Strategy
476,87%,Strategy
477,72%,Strategy
479,94%,Strategy
482,86%,Strategy
490,87%,Strategy
493,78%,Strategy
495,59%,Strategy
496,79%,Strategy
498,66%,Strategy
520,76%,Strategy
526,33%,Strategy
527,31%,Strategy
528,10%,Strategy
529,55%,Strategy
530,81%,Strategy
531,69%,Strategy
533,90%,Strategy
544,94%,Strategy
554,69%,Strategy
562,51%,Strategy
565,67%,Strategy
582,38%,Strategy
596,77%,Strategy
597,66%,Strategy
598,90%,Strategy
600,66%,Strategy
603,95%,Strategy
604,87%,Strategy
609,73%,Strategy
628,65%,Strategy
639,63%,Strategy
642,89%,Strategy
647,63%,Strategy
648,90%,Strategy
649,73%,Strategy
650,63%,Strategy
654,56%,Strategy
655,66%,Strategy
662,78%,Strategy
663,100%,Strategy
664,96%,Strategy
665,94%,Strategy
678,46%,Strategy
679,61%,Strategy
680,61%,Strategy
683,65%,Strategy
684,94%,Strategy
694,91%,Strategy
695,71%,Strategy
696,76%,Strategy
697,81%,Strategy
700,90%,Strategy
703,39%,Strategy
706,82%,Strategy
721,65%,Strategy
723,74%,Strategy
726,85%,Strategy
729,68%,Strategy
731,73%,Strategy
739,95%,Strategy
740,59%,Strategy
745,56%,Strategy
746,78%,Strategy
756,60%,Strategy
765,66%,Strategy
766,91%,Strategy
767,85%,Strategy
776,66%,Strategy
779,84%,Strategy
783,70%,Strategy
784,74%,Strategy
786,60%,Strategy
787,94%,Strategy
790,87%,Strategy
793,69%,Strategy
